code,up_catholic,up_protestant,up_none_other,lapsed_catholic,lapsed_protestant,now_presbyterian,now_church_of_ireland,now_methodist,now_remaining_other_christian,sdz_unspecified_protestant,sdz_conservative_pool,sdz_free_presbyterian,grade_AB,grade_C1,grade_C2,grade_DE,id_british,id_irish,id_northern_irish,id_british_and_irish,id_british_and_northern_irish,id_irish_and_northern_irish,id_british_irish_and_northern_irish,id_other
N20001115,0.418680,0.330113,0.251208,0.115942,0.072464,0.091787,0.062802,0.014493,0.061997,0.014392,0.009410,0.002768,0.168350,0.557239,0.067340,0.207071,0.186795,0.264090,0.161031,0.009662,0.064412,0.051530,0.020934,0.241546
N20001116,0.112426,0.692308,0.195266,0.029586,0.100592,0.162722,0.224852,0.103550,0.067292,0.025668,0.004162,0.003469,0.090253,0.209386,0.119134,0.581227,0.482143,0.071429,0.127976,0.000000,0.142857,0.002976,0.000000,0.172619
N20001117,0.118380,0.626168,0.255452,0.024922,0.043614,0.143302,0.221184,0.093458,0.083360,0.031797,0.005156,0.004297,0.071685,0.236559,0.164875,0.526882,0.451713,0.052960,0.165109,0.000000,0.062305,0.003115,0.003115,0.261682
N20001118,0.704545,0.113636,0.181818,0.123967,0.030992,0.014463,0.006198,0.000000,0.043816,0.000712,0.017455,0.000000,0.151724,0.383908,0.135632,0.328736,0.076605,0.515528,0.126294,0.006211,0.016563,0.033126,0.008282,0.217391
N20001119,0.552311,0.243309,0.204380,0.098428,0.061270,0.060680,0.029126,0.002427,0.075519,0.006123,0.007144,0.001021,0.095890,0.654795,0.068493,0.180822,0.104623,0.496350,0.080292,0.007299,0.046229,0.065693,0.026764,0.172749
N20001120,0.639262,0.151007,0.209732,0.089515,0.032963,0.064081,0.025295,0.001686,0.022689,0.001840,0.002146,0.000307,0.049573,0.735043,0.039316,0.176068,0.069140,0.507589,0.134907,0.006745,0.033727,0.042159,0.011804,0.193929
N20001121,0.629747,0.215190,0.155063,0.132932,0.098948,0.049363,0.031847,0.007962,0.025265,0.001805,0.000000,0.000000,0.629167,0.245833,0.056250,0.068750,0.120444,0.445325,0.217116,0.014263,0.030111,0.050713,0.030111,0.091918
N20001122,0.436508,0.178571,0.384921,0.124508,0.074571,0.024000,0.028000,0.008000,0.033647,0.006614,0.002876,0.000863,0.251012,0.603239,0.048583,0.097166,0.128000,0.276000,0.136000,0.008000,0.048000,0.032000,0.036000,0.336000
N20001123,0.397291,0.311512,0.291196,0.112867,0.074492,0.060948,0.081264,0.013544,0.068998,0.005111,0.006133,0.001022,0.180203,0.629442,0.083756,0.106599,0.121896,0.261851,0.155756,0.002257,0.079007,0.020316,0.013544,0.345372
N20001124,0.437601,0.269044,0.293355,0.118314,0.079417,0.068071,0.042139,0.006483,0.055773,0.010964,0.004767,0.001430,0.219015,0.560272,0.110357,0.110357,0.169903,0.323625,0.127832,0.009709,0.063107,0.046926,0.032362,0.226537
