code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20003447,0.017615,0.366628,0.319445,0.166752,0.015911,0.087696,0.021323,0.002498,0.002131
N20003448,0.012020,0.471633,0.131216,0.258013,0.008263,0.108806,0.007368,0.001426,0.001255
N20003449,0.026042,0.409504,0.275098,0.174158,0.022313,0.065438,0.020766,0.003668,0.003012
N20003450,0.020200,0.544445,0.105473,0.185596,0.010723,0.123432,0.006096,0.002226,0.001809
N20003451,0.016215,0.321399,0.403764,0.140082,0.021278,0.057940,0.033973,0.002945,0.002405
N20003452,0.012292,0.375479,0.304878,0.191414,0.010894,0.084442,0.017457,0.001668,0.001476
N20003453,0.005154,0.172929,0.631873,0.099368,0.011575,0.032279,0.044520,0.001230,0.001072
N20003454,0.008764,0.307443,0.425782,0.153148,0.011966,0.060027,0.029936,0.001575,0.001359
N20003455,0.003720,0.060261,0.814431,0.032921,0.010132,0.009950,0.066802,0.000939,0.000843
N20003456,0.022970,0.402988,0.243395,0.187650,0.022340,0.098318,0.016098,0.003339,0.002901
N20003457,0.014095,0.364222,0.328557,0.171632,0.012665,0.085249,0.020114,0.001805,0.001662
N20003458,0.015213,0.466170,0.123847,0.234892,0.011292,0.138286,0.006669,0.001943,0.001687
N20003459,0.019138,0.424351,0.221550,0.188593,0.018586,0.108871,0.013717,0.002781,0.002413
N20003460,0.009638,0.417961,0.224692,0.226027,0.008403,0.098621,0.012238,0.001273,0.001147
N20003461,0.013446,0.465956,0.132511,0.231210,0.009124,0.137938,0.006885,0.001541,0.001390
N20003462,0.010809,0.399967,0.295220,0.155238,0.009413,0.110230,0.016442,0.001403,0.001278
N20003463,0.012399,0.510256,0.117432,0.199724,0.006944,0.144653,0.006146,0.001299,0.001148
N20003464,0.018398,0.358483,0.331172,0.167263,0.019035,0.078185,0.022281,0.002775,0.002409
N20003465,0.040849,0.533466,0.069174,0.186004,0.017594,0.141537,0.004241,0.003935,0.003200
N20003466,0.012003,0.516921,0.106865,0.213095,0.008056,0.134268,0.006103,0.001446,0.001243
N20003467,0.012321,0.296280,0.443945,0.139895,0.014413,0.059253,0.030280,0.001901,0.001713
N20003468,0.012320,0.294637,0.459193,0.131515,0.011961,0.056477,0.030612,0.001747,0.001537
