code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20001147,0.152106,0.280924,0.274200,0.082324,0.069401,0.040398,0.065449,0.021624,0.013574
N20001148,0.088775,0.063960,0.564465,0.025619,0.083835,0.011591,0.132114,0.017964,0.011677
N20001149,0.140575,0.100464,0.449363,0.041208,0.101094,0.017205,0.109245,0.024907,0.015939
N20001150,0.240553,0.080781,0.305370,0.032778,0.175987,0.013285,0.080649,0.043236,0.027362
N20001151,0.230227,0.088582,0.294129,0.039250,0.187150,0.015641,0.073283,0.043891,0.027846
N20001152,0.194195,0.069444,0.373833,0.028936,0.157398,0.011988,0.104382,0.036631,0.023195
N20001153,0.189978,0.122062,0.309695,0.056948,0.163517,0.022360,0.074012,0.037546,0.023880
N20001154,0.394895,0.105231,0.134273,0.041415,0.179280,0.017641,0.037076,0.055499,0.034690
N20001155,0.271994,0.063578,0.270155,0.026521,0.199028,0.011044,0.078087,0.048860,0.030733
N20001156,0.149966,0.105263,0.419384,0.045890,0.111766,0.018876,0.104370,0.027126,0.017359
N20001157,0.214865,0.079006,0.330209,0.034933,0.174753,0.013440,0.085958,0.040945,0.025891
N20001158,0.392569,0.067033,0.159911,0.034419,0.197751,0.013174,0.038764,0.059113,0.037266
N20001159,0.244890,0.023319,0.290737,0.009483,0.250602,0.003760,0.094165,0.050787,0.032258
N20001160,0.334123,0.038338,0.187044,0.017488,0.261453,0.006854,0.054271,0.061572,0.038856
N20001161,0.230394,0.051931,0.313078,0.023072,0.206461,0.009272,0.091364,0.045573,0.028854
N20001162,0.163751,0.072544,0.422215,0.028135,0.127644,0.011976,0.124692,0.029995,0.019048
N20001163,0.219886,0.086239,0.351806,0.033017,0.142085,0.013734,0.093055,0.036819,0.023359
N20001164,0.330625,0.055196,0.208104,0.026673,0.219687,0.010303,0.057377,0.056398,0.035638
N20001165,0.390227,0.058583,0.147619,0.028922,0.225703,0.011070,0.036329,0.062149,0.039396
N20001166,0.313063,0.034342,0.240199,0.017470,0.229443,0.006648,0.067151,0.056085,0.035600
N20001167,0.141650,0.023881,0.513400,0.013118,0.130995,0.004636,0.125801,0.028075,0.018443
N20001168,0.147913,0.062342,0.467995,0.026608,0.115404,0.011055,0.123745,0.027449,0.017489
N20001169,0.199124,0.049458,0.410160,0.027346,0.146347,0.010194,0.098795,0.035488,0.023087
N20001170,0.195885,0.044528,0.393220,0.022279,0.169723,0.008690,0.103479,0.037711,0.024484
N20001171,0.140254,0.053684,0.494667,0.027677,0.117634,0.010243,0.111656,0.026694,0.017491
N20001172,0.062416,0.055448,0.636319,0.028475,0.052161,0.011559,0.133942,0.011810,0.007868
N20001173,0.185563,0.051154,0.397722,0.025934,0.167930,0.010129,0.101226,0.036503,0.023838
N20001174,0.170986,0.030779,0.467062,0.016880,0.144261,0.006092,0.110301,0.032370,0.021268
N20001175,0.112668,0.042131,0.532579,0.021442,0.113594,0.007587,0.131041,0.023554,0.015403
N20001176,0.157216,0.033587,0.499253,0.019687,0.126984,0.007362,0.107298,0.029287,0.019325
N20001177,0.167258,0.037354,0.476758,0.021061,0.130987,0.007950,0.108063,0.030497,0.020072
N20001178,0.131523,0.042172,0.518317,0.022758,0.113448,0.008163,0.121644,0.025318,0.016657
N20001179,0.328477,0.062532,0.211824,0.026802,0.208887,0.011315,0.061383,0.054591,0.034188
N20001180,0.340770,0.045206,0.196186,0.025257,0.235798,0.009552,0.049220,0.059796,0.038215
N20001181,0.205002,0.026022,0.382103,0.014210,0.198066,0.005072,0.101441,0.041167,0.026919
N20001182,0.249439,0.050243,0.355536,0.029079,0.156146,0.011000,0.080407,0.041314,0.026836
N20001183,0.282695,0.018260,0.280188,0.010617,0.246469,0.003888,0.068007,0.054321,0.035554
N20001184,0.446455,0.054445,0.109189,0.029574,0.213947,0.012238,0.026989,0.065918,0.041244
N20001185,0.290790,0.034302,0.275877,0.020490,0.223326,0.007437,0.060111,0.052931,0.034735
N20001186,0.347443,0.026684,0.208488,0.015066,0.244765,0.005733,0.052263,0.060586,0.038971
N20001187,0.218025,0.054924,0.388707,0.030115,0.146040,0.011246,0.089472,0.037228,0.024243
N20001188,0.256698,0.037158,0.345395,0.020875,0.180375,0.007795,0.077616,0.044934,0.029153
N20001189,0.276978,0.047776,0.340252,0.028827,0.151175,0.011174,0.072717,0.043167,0.027935
N20001190,0.559504,0.027921,0.042965,0.017598,0.214563,0.006917,0.010293,0.073998,0.046241
N20001191,0.281819,0.016124,0.285678,0.009582,0.245080,0.003683,0.068187,0.054312,0.035535
N20001192,0.588079,0.029688,0.030593,0.018363,0.199481,0.007420,0.006932,0.073621,0.045821
N20001193,0.348509,0.062875,0.237489,0.037402,0.165046,0.014149,0.051398,0.050608,0.032524
N20001194,0.243833,0.209128,0.173654,0.104882,0.126070,0.043532,0.037632,0.037390,0.023879
N20001195,0.420625,0.034936,0.133739,0.020996,0.240352,0.007867,0.031526,0.067151,0.042810
N20001196,0.199275,0.054686,0.414755,0.031777,0.137806,0.011959,0.092390,0.034667,0.022685
N20001197,0.548886,0.020550,0.051762,0.012612,0.226574,0.005075,0.012448,0.075100,0.046994
N20001198,0.309148,0.036358,0.267469,0.023120,0.209517,0.008458,0.058295,0.052930,0.034706
N20001199,0.169107,0.040363,0.463977,0.022138,0.136808,0.008442,0.106718,0.031692,0.020756
N20001200,0.154612,0.083918,0.442352,0.043686,0.107784,0.016460,0.106647,0.027040,0.017501
N20001201,0.096476,0.124243,0.504567,0.063303,0.059153,0.024835,0.101182,0.015851,0.010391
N20001202,0.398516,0.038877,0.154932,0.022419,0.234709,0.008470,0.037058,0.064032,0.040986
N20001203,0.054110,0.456242,0.174176,0.162342,0.023324,0.084257,0.033088,0.007598,0.004864
N20001204,0.532999,0.021370,0.046488,0.012964,0.244249,0.005240,0.011243,0.077193,0.048255
N20001205,0.118990,0.290141,0.261076,0.128174,0.063069,0.053426,0.054964,0.018344,0.011816
N20001206,0.045854,0.429682,0.198226,0.176628,0.023204,0.077500,0.037353,0.007036,0.004518
N20001207,0.019637,0.561593,0.046757,0.228120,0.007543,0.124297,0.007662,0.002678,0.001714
N20001208,0.024908,0.575606,0.020795,0.243937,0.007896,0.118283,0.003537,0.003076,0.001961
N20001209,0.202207,0.137386,0.322282,0.070793,0.118691,0.030016,0.065091,0.032460,0.021074
N20001210,0.039641,0.514589,0.093008,0.211456,0.015283,0.101065,0.016250,0.005292,0.003416
N20001211,0.036189,0.477977,0.147113,0.201372,0.016359,0.085699,0.026651,0.005250,0.003390
N20001212,0.534854,0.016116,0.044666,0.010466,0.251739,0.004018,0.010339,0.078478,0.049325
N20001213,0.053281,0.344215,0.304888,0.145688,0.022651,0.061284,0.055872,0.007341,0.004780
N20001214,0.152344,0.319060,0.174512,0.145384,0.072278,0.064650,0.034874,0.022476,0.014422
N20001215,0.028854,0.436672,0.201356,0.195391,0.015974,0.078548,0.035605,0.004598,0.003003
N20001216,0.127891,0.205935,0.375426,0.080358,0.065783,0.037829,0.074843,0.019389,0.012546
N20001217,0.106593,0.217652,0.369233,0.100374,0.062211,0.043133,0.072356,0.017221,0.011228
N20001218,0.184099,0.072586,0.423245,0.039731,0.117619,0.016007,0.095961,0.030727,0.020026
N20001219,0.127038,0.177837,0.382131,0.085816,0.080930,0.034472,0.076457,0.021332,0.013986
