code,index
N20000956,0.97237
N20000957,0.86745
N20000958,0.97483
N20000959,0.96905
N20000960,0.94230
N20000961,0.96896
N20000962,0.95576
N20000963,0.96804
N20000964,0.94950
N20000965,0.99795
N20000966,0.93002
N20000967,0.96602
N20000968,0.94810
N20000969,0.97695
N20000970,0.95196
N20000971,0.98042
N20000972,1.05246
N20000973,0.98997
N20000974,0.96510
N20000975,1.00193
N20000976,0.96439
N20000977,0.97881
N20000978,1.01891
N20000979,0.99199
N20000980,0.78787
N20000981,0.95949
N20000982,0.98939
N20000983,0.95896
N20000984,1.00626
N20000985,0.93521
N20000986,0.96201
N20000987,0.97794
N20000988,0.95950
N20000989,0.80942
N20000990,0.92026
N20000991,0.93708
N20000992,0.98043
N20000993,0.96772
N20000994,0.92564
N20000995,0.99942
N20000996,0.77009
N20000997,0.98874
N20000998,1.00036
N20000999,0.77009
N20001000,0.77315
N20001001,0.99460
N20001002,0.85709
N20001003,0.89114
N20001004,0.79652
N20001005,0.99077
N20001006,0.97744
N20001007,0.90083
N20001008,0.97124
N20001009,0.81445
N20001010,1.02426
N20001011,0.83887
N20001012,0.77009
N20001013,0.90222
N20001014,0.81942
N20001015,0.94714
N20001016,0.90120
N20001017,0.96457
N20001018,0.77009
N20001019,0.93516
N20001020,0.97579
N20001021,1.01079
N20001022,0.96694
N20001023,0.98893
N20001024,1.08676
N20001025,0.94028
N20001026,0.87444
N20001027,0.97649
N20001028,0.96198
N20001029,0.97754
N20001030,1.04983
N20001031,1.00371
N20001032,1.02712
N20001033,0.95090
N20001034,0.92230
N20001035,1.10490
N20001036,0.99860
N20001037,1.05819
N20001038,0.93763
N20001039,1.00547
N20001040,0.78046
N20001041,0.79039
N20001042,1.08220
N20001043,0.94804
N20001044,0.77009
N20001045,0.91039
N20001046,0.92651
N20001047,0.97986
N20001048,0.96534
N20001049,0.90946
N20001050,0.99375
N20001051,0.96500
N20001052,0.92316
N20001053,0.93282
N20001054,0.97800
N20001055,0.87292
N20001056,0.93404
N20001057,1.04855
N20001058,0.79366
N20001059,0.94157
N20001060,0.90750
N20001061,1.01311
N20001062,1.14817
N20001063,1.03673
N20001064,0.88398
N20001065,0.84531
N20001066,1.06950
N20001067,0.97375
N20001068,1.04360
N20001069,1.11769
N20001070,1.06881
N20001071,1.08971
N20001072,1.08486
N20001073,1.12447
N20001074,1.02407
N20001075,1.12948
N20001076,1.10047
N20001077,1.06038
N20001078,1.05125
N20001079,1.01569
